house;das Haus;;basic, surrounding
apartment;die Wohnung;;basic, surrounding
hotel;das Hotel;;basic, surrounding
museum;das Museum;;basic, surrounding
beach;der Strand;;basic, surrounding
forest;der Wald;;basic, surrounding
mountain;der Berg;;basic, surrounding
park;der Park;;basic, surrounding
river;der Fluss;;basic, surrounding
sea;das Meer;;basic, surrounding
lake;der See;;basic, surrounding
weather;das Wetter;;basic, surrounding
sun ;die Sonne ;;basic, surrounding
rain;der Regen;;basic, surrounding
snow;der Schnee;;basic, surrounding
thunderstorm;das Gewitter;;basic, surrounding
