to work;arbeiten;;basic, verb
to visit;besuchen;;basic, verb
to stay;bleiben;;basic, verb
to need;brauchen;;basic, verb
to eat;essen;;basic, verb
to ask;fragen;;basic, verb
to give;geben;;basic, verb
to go;gehen;;basic, verb
to have ;haben ;;basic, verb
to buy;kaufen;;basic, verb, shopping
(I/you/we/they) can;können;;basic, verb
to learn ;lernen ;;basic, verb
to make ;machen ;;basic, verb
to take;nehmen;;basic, verb
to say;sagen;;basic, verb
to write;schreiben;;basic, verb
to see;sehen;;basic, verb
to be;sein;;basic, verb
to search;suchen;;basic, verb
to call;telefonieren;;basic, verb
to drink;trinken;;basic, verb
to know;wissen;;basic, verb
to want;wollen;;basic, verb
to pay;zahlen;;basic, verb
