bueno/a;gut;;basic, adjective
malo/a;schlecht;;basic, adjective
nuevo/a;neu;;basic, adjective
viejo/a;alt;;basic, adjective
joven;jung;;basic, adjective
grande;groß;;basic, adjective
pequeño/a;klein;;basic, adjective
bonito/a;schön;;basic, adjective
barato/a;billig;;basic, adjective
caro/a;teuer;;basic, adjective
claro/a;dunkel;;basic, adjective
brillante;hell;;basic, adjective
juntos/as;zusammen;;basic, adjective
separado/a;getrennt;;basic, adjective
importante;wichtig;;basic, adjective
cansado/a;müde;;basic, adjective
