la comida;das Essen;;basic, food
el restaurante;das Restaurant;;basic, food
el café;das Café;;basic, food
el bar;die Bar;;basic, food
el menú;die Speisekarte;;basic, food
el aperitivo;die Vorspeise;;basic, food
el plato principal;die Hauptspeise;;basic, food
el postre;der Nachtisch;;basic, food
la cuenta;die Rechnung;;basic, food
vegetariano;vegetarisch;;basic, food
vegano;vegan;;basic, food
sin gluten;glutenfrei;;basic, food
el pescado ;der Fisch ;;basic, food
la carne;das Fleisch;;basic, food
el ensalada;der Salat;;basic, food
la leche;die Milch;;basic, food
el queso;der Käse;;basic, food
las frutas;das Obst;;basic, food
las verduras;das Gemüse;;basic, food
los frutos secos;die Nüsse;;basic, food
el café;der Kaffee;;basic, food
el té ;der Tee ;;basic, food
la agua;das Wasser;;basic, food
el vino;der Wein;;basic, food
la cerveza ;das Bier ;;basic, food
sin alcohol;alkoholfrei;;basic, food
¡Salud!;Prost!;;basic, food
