el/la médico/a;der Arzt / die Ärztin;;basic, health
el hospital;das Krankenhaus;;basic, health
la farmacia;die Apotheke;;basic, health
el analgésico;die Schmerzmittel;;basic, health
el medicamento;das Medikament;;basic, health
el dolor;die Schmerzen;;basic, health, body
la espalda ;der Rücken ;;basic, health, body
el pie;der Fuß;;basic, health, body
el vientre;der Bauch;;basic, health, body
la pierna;das Bein;;basic, health, body
la cabeza;der Kopf;;basic, health, body
el mano;die Hand;;basic, health, body
el brazo;der Arm;;basic, health, body
