la casa;das Haus;;basic, surrounding
el apartamento;die Wohnung;;basic, surrounding
el hotel;das Hotel;;basic, surrounding
el museo;das Museum;;basic, surrounding
la playa;der Strand;;basic, surrounding
el bosque;der Wald;;basic, surrounding
la montaña;der Berg;;basic, surrounding
el parque;der Park;;basic, surrounding
el río;der Fluss;;basic, surrounding
el mar;das Meer;;basic, surrounding
el lago;der See;;basic, surrounding
el tiempo;das Wetter;;basic, surrounding
el sol ;die Sonne ;;basic, surrounding
la lluvia;der Regen;;basic, surrounding
el nieve;der Schnee;;basic, surrounding
la tormenta;das Gewitter;;basic, surrounding
