trabajar;arbeiten;;basic, verb
visitar;besuchen;;basic, verb
quedarse;bleiben;;basic, verb
necesitar;brauchen;;basic, verb
comer;essen;;basic, verb
preguntar;fragen;;basic, verb
dar;geben;;basic, verb
ir;gehen;;basic, verb
tener ;haben ;;basic, verb
comprar;kaufen;;basic, verb, shopping
poder;können;;basic, verb
aprender ;lernen ;;basic, verb
hacer ;machen ;;basic, verb
tomar;nehmen;;basic, verb
decir;sagen;;basic, verb
escribir;schreiben;;basic, verb
ver;sehen;;basic, verb
ser;sein;;basic, verb
buscar;suchen;;basic, verb
llamar por teléfono;telefonieren;;basic, verb
beber;trinken;;basic, verb
saber;wissen;;basic, verb
querer;wollen;;basic, verb
pagar;zahlen;;basic, verb
