talo;das Haus;;basic, surrounding
asunto;die Wohnung;;basic, surrounding
hotelli;das Hotel;;basic, surrounding
museo;das Museum;;basic, surrounding
ranta;der Strand;;basic, surrounding
metsä;der Wald;;basic, surrounding
vuori;der Berg;;basic, surrounding
puisto;der Park;;basic, surrounding
joki;der Fluss;;basic, surrounding
meri;das Meer;;basic, surrounding
järvi;der See;;basic, surrounding
sää;das Wetter;;basic, surrounding
aurinko ;die Sonne ;;basic, surrounding
sade;der Regen;;basic, surrounding
lumi;der Schnee;;basic, surrounding
ukkonen;das Gewitter;;basic, surrounding
