työskennellä;arbeiten;;basic, verb
käydä;besuchen;;basic, verb
jäädä;bleiben;;basic, verb
tarvita;brauchen;;basic, verb
syödä;essen;;basic, verb
kysyä;fragen;;basic, verb
antaa;geben;;basic, verb
kävellä;gehen;;basic, verb
omistaa;haben ;;basic, verb
ostaa;kaufen;;basic, verb, shopping
voida;können;;basic, verb
oppia ;lernen ;;basic, verb
tehdä ;machen ;;basic, verb
ottaa;nehmen;;basic, verb
sanoa;sagen;;basic, verb
kirjoittaa;schreiben;;basic, verb
nähdä;sehen;;basic, verb
olla;sein;;basic, verb
etsiä;suchen;;basic, verb
soittaa;telefonieren;;basic, verb
juoda;trinken;;basic, verb
tietää;wissen;;basic, verb
haluta;wollen;;basic, verb
maksaa;zahlen;;basic, verb
