bon(ne);gut;;basic, adjective
mauvais(e);schlecht;;basic, adjective
nouveau/nouvelle;neu;;basic, adjective
vieux/vieille;alt;;basic, adjective
jeune;jung;;basic, adjective
grand(e);groß;;basic, adjective
petit(e);klein;;basic, adjective
beau/belle;schön;;basic, adjective
pas cher/chère;billig;;basic, adjective
cher/chère;teuer;;basic, adjective
sombre;dunkel;;basic, adjective
clair(e);hell;;basic, adjective
ensemble;zusammen;;basic, adjective
séparé(e);getrennt;;basic, adjective
important(e);wichtig;;basic, adjective
fatigué(e);müde;;basic, adjective
