le repas;das Essen;;basic, food
le restaurant;das Restaurant;;basic, food
le café;das Café;;basic, food
le bar;die Bar;;basic, food
le menu;die Speisekarte;;basic, food
l’entrée;die Vorspeise;;basic, food
le plat principal;die Hauptspeise;;basic, food
le dessert;der Nachtisch;;basic, food
l’addition;die Rechnung;;basic, food
végétarien(ne);vegetarisch;;basic, food
végan;vegan;;basic, food
sans gluten;glutenfrei;;basic, food
le poisson ;der Fisch ;;basic, food
la viande;das Fleisch;;basic, food
la salade;der Salat;;basic, food
le lait;die Milch;;basic, food
le fromage;der Käse;;basic, food
les fruits;das Obst;;basic, food
les légumes;das Gemüse;;basic, food
les noix;die Nüsse;;basic, food
le café;der Kaffee;;basic, food
le thé ;der Tee ;;basic, food
l’eau;das Wasser;;basic, food
le vin;der Wein;;basic, food
la bière ;das Bier ;;basic, food
sans alcool;alkoholfrei;;basic, food
À ta santé !;Prost!;;basic, food
