le/la médecin;der Arzt / die Ärztin;;basic, health
l’hôpital;das Krankenhaus;;basic, health
la pharmacie;die Apotheke;;basic, health
l’antidouleur;die Schmerzmittel;;basic, health
le médicament;das Medikament;;basic, health
la douleur;die Schmerzen;;basic, health, body
le dos ;der Rücken ;;basic, health, body
le pied;der Fuß;;basic, health, body
l’abdomen;der Bauch;;basic, health, body
la jambe;das Bein;;basic, health, body
la tête;der Kopf;;basic, health, body
la main;die Hand;;basic, health, body
le bras;der Arm;;basic, health, body
