la maison;das Haus;;basic, surrounding
l’appartement;die Wohnung;;basic, surrounding
l’hôtel;das Hotel;;basic, surrounding
le musée;das Museum;;basic, surrounding
la plage;der Strand;;basic, surrounding
le forêt;der Wald;;basic, surrounding
la montagne;der Berg;;basic, surrounding
le parc;der Park;;basic, surrounding
la rivière;der Fluss;;basic, surrounding
la mer;das Meer;;basic, surrounding
le lac;der See;;basic, surrounding
le temps;das Wetter;;basic, surrounding
le soleil ;die Sonne ;;basic, surrounding
la pluie;der Regen;;basic, surrounding
la neige;der Schnee;;basic, surrounding
l’orage;das Gewitter;;basic, surrounding
