travailler;arbeiten;;basic, verb
visiter;besuchen;;basic, verb
rester;bleiben;;basic, verb
avoir besoin de;brauchen;;basic, verb
manger;essen;;basic, verb
demander;fragen;;basic, verb
donner;geben;;basic, verb
aller;gehen;;basic, verb
avoir ;haben ;;basic, verb
acheter;kaufen;;basic, verb, shopping
pouvoir;können;;basic, verb
apprendre ;lernen ;;basic, verb
faire ;machen ;;basic, verb
prendre;nehmen;;basic, verb
dire;sagen;;basic, verb
écrire;schreiben;;basic, verb
voir;sehen;;basic, verb
être;sein;;basic, verb
chercher;suchen;;basic, verb
téléphoner;telefonieren;;basic, verb
boire;trinken;;basic, verb
savoir;wissen;;basic, verb
vouloir;wollen;;basic, verb
payer;zahlen;;basic, verb
