食べ物;das Essen;;basic, food
レストラン;das Restaurant;;basic, food
カフェ;das Café;;basic, food
バー;die Bar;;basic, food
メニュー;die Speisekarte;;basic, food
前菜;die Vorspeise;;basic, food
メイン料理;die Hauptspeise;;basic, food
デザート;der Nachtisch;;basic, food
請求書;die Rechnung;;basic, food
ベジタリアン;vegetarisch;;basic, food
ビーガン;vegan;;basic, food
グルテンフリー;glutenfrei;;basic, food
魚;der Fisch ;;basic, food
お肉;das Fleisch;;basic, food
サラダ;der Salat;;basic, food
牛乳;die Milch;;basic, food
チーズ;der Käse;;basic, food
果物;das Obst;;basic, food
野菜;das Gemüse;;basic, food
ナッツ;die Nüsse;;basic, food
コーヒー;der Kaffee;;basic, food
お茶;der Tee ;;basic, food
水;das Wasser;;basic, food
ワイン;der Wein;;basic, food
ビール;das Bier ;;basic, food
ノンアルコール;alkoholfrei;;basic, food
乾杯！;Prost!;;basic, food
