家;das Haus;;basic, surrounding
アパート;die Wohnung;;basic, surrounding
ホテル;das Hotel;;basic, surrounding
博物館;das Museum;;basic, surrounding
ビーチ;der Strand;;basic, surrounding
林;der Wald;;basic, surrounding
山;der Berg;;basic, surrounding
公園;der Park;;basic, surrounding
川;der Fluss;;basic, surrounding
海;das Meer;;basic, surrounding
湖;der See;;basic, surrounding
天気;das Wetter;;basic, surrounding
太陽;die Sonne ;;basic, surrounding
雨;der Regen;;basic, surrounding
雪;der Schnee;;basic, surrounding
雷;das Gewitter;;basic, surrounding
