働く;arbeiten;;basic, verb
訪れる;besuchen;;basic, verb
留まる;bleiben;;basic, verb
必要;brauchen;;basic, verb
食べる;essen;;basic, verb
訪ねる;fragen;;basic, verb
あげる;geben;;basic, verb
行く;gehen;;basic, verb
持っている;haben ;;basic, verb
買う;kaufen;;basic, verb, shopping
できる;können;;basic, verb
習う;lernen ;;basic, verb
作る;machen ;;basic, verb
取る;nehmen;;basic, verb
言う;sagen;;basic, verb
書く;schreiben;;basic, verb
見る;sehen;;basic, verb
となる;sein;;basic, verb
探す;suchen;;basic, verb
電話する;telefonieren;;basic, verb
飲む;trinken;;basic, verb
知る;wissen;;basic, verb
したい;wollen;;basic, verb
払う;zahlen;;basic, verb
