음식;das Essen;;basic, food
식당;das Restaurant;;basic, food
카페;das Café;;basic, food
바;die Bar;;basic, food
메뉴;die Speisekarte;;basic, food
전채 요리;die Vorspeise;;basic, food
주 요리;die Hauptspeise;;basic, food
디저트;der Nachtisch;;basic, food
계산서;die Rechnung;;basic, food
채식;vegetarisch;;basic, food
비건;vegan;;basic, food
글루텐 없는;glutenfrei;;basic, food
생선;der Fisch ;;basic, food
고기;das Fleisch;;basic, food
샐러드;der Salat;;basic, food
우유;die Milch;;basic, food
치즈;der Käse;;basic, food
과일;das Obst;;basic, food
야채;das Gemüse;;basic, food
견과류;die Nüsse;;basic, food
커피;der Kaffee;;basic, food
차;der Tee ;;basic, food
물;das Wasser;;basic, food
와인;der Wein;;basic, food
맥주;das Bier ;;basic, food
무알콜;alkoholfrei;;basic, food
건배;Prost!;;basic, food
