집;das Haus;;basic, surrounding
아파트;die Wohnung;;basic, surrounding
호텔;das Hotel;;basic, surrounding
박물관 ;das Museum;;basic, surrounding
해변;der Strand;;basic, surrounding
숲;der Wald;;basic, surrounding
산;der Berg;;basic, surrounding
공원;der Park;;basic, surrounding
강;der Fluss;;basic, surrounding
바다;das Meer;;basic, surrounding
호수;der See;;basic, surrounding
날씨;das Wetter;;basic, surrounding
해;die Sonne ;;basic, surrounding
비;der Regen;;basic, surrounding
눈;der Schnee;;basic, surrounding
뇌우;das Gewitter;;basic, surrounding
