potraviny;das Essen;;basic, food
reštaurácia;das Restaurant;;basic, food
kaviareň;das Café;;basic, food
bar;die Bar;;basic, food
menu;die Speisekarte;;basic, food
predjedlo;die Vorspeise;;basic, food
hlavné jedlo;die Hauptspeise;;basic, food
dezert;der Nachtisch;;basic, food
účet;die Rechnung;;basic, food
vegetariánske;vegetarisch;;basic, food
vegánske;vegan;;basic, food
bezlepkové;glutenfrei;;basic, food
ryba;der Fisch ;;basic, food
mäso;das Fleisch;;basic, food
šalát;der Salat;;basic, food
mlieko;die Milch;;basic, food
syr;der Käse;;basic, food
ovocie;das Obst;;basic, food
zelenina;das Gemüse;;basic, food
orechy;die Nüsse;;basic, food
káva;der Kaffee;;basic, food
čaj ;der Tee ;;basic, food
voda;das Wasser;;basic, food
víno;der Wein;;basic, food
pivo ;das Bier ;;basic, food
nealkoholické;alkoholfrei;;basic, food
Na zdravie!;Prost!;;basic, food
