dom;das Haus;;basic, surrounding
byt;die Wohnung;;basic, surrounding
hotel;das Hotel;;basic, surrounding
múzeum;das Museum;;basic, surrounding
pláž;der Strand;;basic, surrounding
les;der Wald;;basic, surrounding
vrch;der Berg;;basic, surrounding
park;der Park;;basic, surrounding
rieka;der Fluss;;basic, surrounding
more;das Meer;;basic, surrounding
jazero;der See;;basic, surrounding
počasie;das Wetter;;basic, surrounding
slnko ;die Sonne ;;basic, surrounding
dážď;der Regen;;basic, surrounding
sneh;der Schnee;;basic, surrounding
búrka;das Gewitter;;basic, surrounding
