pracovať;arbeiten;;basic, verb
navštíviť;besuchen;;basic, verb
zostať;bleiben;;basic, verb
potrebovať;brauchen;;basic, verb
jesť;essen;;basic, verb
pýtať sa;fragen;;basic, verb
dať;geben;;basic, verb
ísť;gehen;;basic, verb
mať ;haben ;;basic, verb
kúpiť;kaufen;;basic, verb, shopping
môcť;können;;basic, verb
naučiť sa ;lernen ;;basic, verb
vyrobiť ;machen ;;basic, verb
vziať;nehmen;;basic, verb
povedať;sagen;;basic, verb
písať;schreiben;;basic, verb
vidieť;sehen;;basic, verb
byť;sein;;basic, verb
hľadať;suchen;;basic, verb
telefonovať;telefonieren;;basic, verb
piť;trinken;;basic, verb
vedieť;wissen;;basic, verb
chcieť;wollen;;basic, verb
platiť;zahlen;;basic, verb
