das Haus;house;;basic, surrounding
die Wohnung;apartment;;basic, surrounding
das Hotel;hotel;;basic, surrounding
das Museum;museum;;basic, surrounding
der Strand;beach;;basic, surrounding
der Wald;forest;;basic, surrounding
der Berg;mountain;;basic, surrounding
der Park;park;;basic, surrounding
der Fluss;river;;basic, surrounding
das Meer;sea;;basic, surrounding
der See;lake;;basic, surrounding
das Wetter;weather;;basic, surrounding
die Sonne ;sun ;;basic, surrounding
der Regen;rain;;basic, surrounding
der Schnee;snow;;basic, surrounding
das Gewitter;thunderstorm;;basic, surrounding
