bueno/a;good;;basic, adjective
malo/a;bad;;basic, adjective
nuevo/a;new;;basic, adjective
viejo/a;old;;basic, adjective
joven;young;;basic, adjective
grande;big;;basic, adjective
pequeño/a;small;;basic, adjective
bonito/a;beautiful;;basic, adjective
barato/a;cheap;;basic, adjective
caro/a;expensive;;basic, adjective
claro/a;dark;;basic, adjective
brillante;bright;;basic, adjective
juntos/as;together;;basic, adjective
separado/a;separate;;basic, adjective
importante;important;;basic, adjective
cansado/a;tired;;basic, adjective
