la casa;house;;basic, surrounding
el apartamento;apartment;;basic, surrounding
el hotel;hotel;;basic, surrounding
el museo;museum;;basic, surrounding
la playa;beach;;basic, surrounding
el bosque;forest;;basic, surrounding
la montaña;mountain;;basic, surrounding
el parque;park;;basic, surrounding
el río;river;;basic, surrounding
el mar;sea;;basic, surrounding
el lago;lake;;basic, surrounding
el tiempo;weather;;basic, surrounding
el sol ;sun ;;basic, surrounding
la lluvia;rain;;basic, surrounding
el nieve;snow;;basic, surrounding
la tormenta;thunderstorm;;basic, surrounding
