trabajar;to work;;basic, verb
visitar;to visit;;basic, verb
quedarse;to stay;;basic, verb
necesitar;to need;;basic, verb
comer;to eat;;basic, verb
preguntar;to ask;;basic, verb
dar;to give;;basic, verb
ir;to go;;basic, verb
tener ;to have ;;basic, verb
comprar;to buy;;basic, verb, shopping
poder;(I/you/we/they) can;;basic, verb
aprender ;to learn ;;basic, verb
hacer ;to make ;;basic, verb
tomar;to take;;basic, verb
decir;to say;;basic, verb
escribir;to write;;basic, verb
ver;to see;;basic, verb
ser;to be;;basic, verb
buscar;to search;;basic, verb
llamar por teléfono;to call;;basic, verb
beber;to drink;;basic, verb
saber;to know;;basic, verb
querer;to want;;basic, verb
pagar;to pay;;basic, verb
