talo;house;;basic, surrounding
asunto;apartment;;basic, surrounding
hotelli;hotel;;basic, surrounding
museo;museum;;basic, surrounding
ranta;beach;;basic, surrounding
metsä;forest;;basic, surrounding
vuori;mountain;;basic, surrounding
puisto;park;;basic, surrounding
joki;river;;basic, surrounding
meri;sea;;basic, surrounding
järvi;lake;;basic, surrounding
sää;weather;;basic, surrounding
aurinko ;sun ;;basic, surrounding
sade;rain;;basic, surrounding
lumi;snow;;basic, surrounding
ukkonen;thunderstorm;;basic, surrounding
