työskennellä;to work;;basic, verb
käydä;to visit;;basic, verb
jäädä;to stay;;basic, verb
tarvita;to need;;basic, verb
syödä;to eat;;basic, verb
kysyä;to ask;;basic, verb
antaa;to give;;basic, verb
kävellä;to go;;basic, verb
omistaa;to have ;;basic, verb
ostaa;to buy;;basic, verb, shopping
voida;(I/you/we/they) can;;basic, verb
oppia ;to learn ;;basic, verb
tehdä ;to make ;;basic, verb
ottaa;to take;;basic, verb
sanoa;to say;;basic, verb
kirjoittaa;to write;;basic, verb
nähdä;to see;;basic, verb
olla;to be;;basic, verb
etsiä;to search;;basic, verb
soittaa;to call;;basic, verb
juoda;to drink;;basic, verb
tietää;to know;;basic, verb
haluta;to want;;basic, verb
maksaa;to pay;;basic, verb
