bon(ne);good;;basic, adjective
mauvais(e);bad;;basic, adjective
nouveau/nouvelle;new;;basic, adjective
vieux/vieille;old;;basic, adjective
jeune;young;;basic, adjective
grand(e);big;;basic, adjective
petit(e);small;;basic, adjective
beau/belle;beautiful;;basic, adjective
pas cher/chère;cheap;;basic, adjective
cher/chère;expensive;;basic, adjective
sombre;dark;;basic, adjective
clair(e);bright;;basic, adjective
ensemble;together;;basic, adjective
séparé(e);separate;;basic, adjective
important(e);important;;basic, adjective
fatigué(e);tired;;basic, adjective
