la maison;house;;basic, surrounding
l’appartement;apartment;;basic, surrounding
l’hôtel;hotel;;basic, surrounding
le musée;museum;;basic, surrounding
la plage;beach;;basic, surrounding
le forêt;forest;;basic, surrounding
la montagne;mountain;;basic, surrounding
le parc;park;;basic, surrounding
la rivière;river;;basic, surrounding
la mer;sea;;basic, surrounding
le lac;lake;;basic, surrounding
le temps;weather;;basic, surrounding
le soleil ;sun ;;basic, surrounding
la pluie;rain;;basic, surrounding
la neige;snow;;basic, surrounding
l’orage;thunderstorm;;basic, surrounding
