travailler;to work;;basic, verb
visiter;to visit;;basic, verb
rester;to stay;;basic, verb
avoir besoin de;to need;;basic, verb
manger;to eat;;basic, verb
demander;to ask;;basic, verb
donner;to give;;basic, verb
aller;to go;;basic, verb
avoir ;to have ;;basic, verb
acheter;to buy;;basic, verb, shopping
pouvoir;(I/you/we/they) can;;basic, verb
apprendre ;to learn ;;basic, verb
faire ;to make ;;basic, verb
prendre;to take;;basic, verb
dire;to say;;basic, verb
écrire;to write;;basic, verb
voir;to see;;basic, verb
être;to be;;basic, verb
chercher;to search;;basic, verb
téléphoner;to call;;basic, verb
boire;to drink;;basic, verb
savoir;to know;;basic, verb
vouloir;to want;;basic, verb
payer;to pay;;basic, verb
