일하다;to work;;basic, verb
방문하다;to visit;;basic, verb
남다;to stay;;basic, verb
필요하다;to need;;basic, verb
먹다;to eat;;basic, verb
묻다;to ask;;basic, verb
주다;to give;;basic, verb
가다;to go;;basic, verb
가지다;to have ;;basic, verb
사다;to buy;;basic, verb, shopping
할수 있다;(I/you/we/they) can;;basic, verb
배우다;to learn ;;basic, verb
만들다;to make ;;basic, verb
잡다;to take;;basic, verb
말하다;to say;;basic, verb
쓰다;to write;;basic, verb
보다;to see;;basic, verb
이다;to be;;basic, verb
찾다;to search;;basic, verb
전화하다;to call;;basic, verb
마시다;to drink;;basic, verb
알다;to know;;basic, verb
…고 싶다;to want;;basic, verb
지불하다;to pay;;basic, verb
