dom;house;;basic, surrounding
byt;apartment;;basic, surrounding
hotel;hotel;;basic, surrounding
múzeum;museum;;basic, surrounding
pláž;beach;;basic, surrounding
les;forest;;basic, surrounding
vrch;mountain;;basic, surrounding
park;park;;basic, surrounding
rieka;river;;basic, surrounding
more;sea;;basic, surrounding
jazero;lake;;basic, surrounding
počasie;weather;;basic, surrounding
slnko ;sun ;;basic, surrounding
dážď;rain;;basic, surrounding
sneh;snow;;basic, surrounding
búrka;thunderstorm;;basic, surrounding
