pracovať;to work;;basic, verb
navštíviť;to visit;;basic, verb
zostať;to stay;;basic, verb
potrebovať;to need;;basic, verb
jesť;to eat;;basic, verb
pýtať sa;to ask;;basic, verb
dať;to give;;basic, verb
ísť;to go;;basic, verb
mať ;to have ;;basic, verb
kúpiť;to buy;;basic, verb, shopping
môcť;(I/you/we/they) can;;basic, verb
naučiť sa ;to learn ;;basic, verb
vyrobiť ;to make ;;basic, verb
vziať;to take;;basic, verb
povedať;to say;;basic, verb
písať;to write;;basic, verb
vidieť;to see;;basic, verb
byť;to be;;basic, verb
hľadať;to search;;basic, verb
telefonovať;to call;;basic, verb
piť;to drink;;basic, verb
vedieť;to know;;basic, verb
chcieť;to want;;basic, verb
platiť;to pay;;basic, verb
