gut;bueno/a;;basic, adjective
schlecht;malo/a;;basic, adjective
neu;nuevo/a;;basic, adjective
alt;viejo/a;;basic, adjective
jung;joven;;basic, adjective
groß;grande;;basic, adjective
klein;pequeño/a;;basic, adjective
schön;bonito/a;;basic, adjective
billig;barato/a;;basic, adjective
teuer;caro/a;;basic, adjective
dunkel;claro/a;;basic, adjective
hell;brillante;;basic, adjective
zusammen;juntos/as;;basic, adjective
getrennt;separado/a;;basic, adjective
wichtig;importante;;basic, adjective
müde;cansado/a;;basic, adjective
