das Essen;la comida;;basic, food
das Restaurant;el restaurante;;basic, food
das Café;el café;;basic, food
die Bar;el bar;;basic, food
die Speisekarte;el menú;;basic, food
die Vorspeise;el aperitivo;;basic, food
die Hauptspeise;el plato principal;;basic, food
der Nachtisch;el postre;;basic, food
die Rechnung;la cuenta;;basic, food
vegetarisch;vegetariano;;basic, food
vegan;vegano;;basic, food
glutenfrei;sin gluten;;basic, food
der Fisch ;el pescado ;;basic, food
das Fleisch;la carne;;basic, food
der Salat;el ensalada;;basic, food
die Milch;la leche;;basic, food
der Käse;el queso;;basic, food
das Obst;las frutas;;basic, food
das Gemüse;las verduras;;basic, food
die Nüsse;los frutos secos;;basic, food
der Kaffee;el café;;basic, food
der Tee ;el té ;;basic, food
das Wasser;la agua;;basic, food
der Wein;el vino;;basic, food
das Bier ;la cerveza ;;basic, food
alkoholfrei;sin alcohol;;basic, food
Prost!;¡Salud!;;basic, food
