das Haus;la casa;;basic, surrounding
die Wohnung;el apartamento;;basic, surrounding
das Hotel;el hotel;;basic, surrounding
das Museum;el museo;;basic, surrounding
der Strand;la playa;;basic, surrounding
der Wald;el bosque;;basic, surrounding
der Berg;la montaña;;basic, surrounding
der Park;el parque;;basic, surrounding
der Fluss;el río;;basic, surrounding
das Meer;el mar;;basic, surrounding
der See;el lago;;basic, surrounding
das Wetter;el tiempo;;basic, surrounding
die Sonne ;el sol ;;basic, surrounding
der Regen;la lluvia;;basic, surrounding
der Schnee;el nieve;;basic, surrounding
das Gewitter;la tormenta;;basic, surrounding
