Zeit;el tiempo;;basic, time
der Tag ;el día ;;basic, time
die Woche;la semana;;basic, time
der Monat;el mes;;basic, time
das Jahr ;el año ;;basic, time
Montag;lunes;;basic, time
Dienstag;martes;;basic, time
Mittwoch;miércoles;;basic, time
Donnerstag;jueves;;basic, time
Freitag;viernes;;basic, time
Samstag ;sábado ;;basic, time
Sonntag;domingo;;basic, time
morgens;por la mañana;;basic, time
nachmittags;por la tarde;;basic, time
abends;por la tarde;;basic, time
nachts;por la noche;;basic, time
früher;antes;;basic, time
später;más tarde;;basic, time
pünktlich;a tiempo;;basic, time
verspätet;con retraso;;basic, time
