arbeiten;trabajar;;basic, verb
besuchen;visitar;;basic, verb
bleiben;quedarse;;basic, verb
brauchen;necesitar;;basic, verb
essen;comer;;basic, verb
fragen;preguntar;;basic, verb
geben;dar;;basic, verb
gehen;ir;;basic, verb
haben ;tener ;;basic, verb
kaufen;comprar;;basic, verb, shopping
können;poder;;basic, verb
lernen ;aprender ;;basic, verb
machen ;hacer ;;basic, verb
nehmen;tomar;;basic, verb
sagen;decir;;basic, verb
schreiben;escribir;;basic, verb
sehen;ver;;basic, verb
sein;ser;;basic, verb
suchen;buscar;;basic, verb
telefonieren;llamar por teléfono;;basic, verb
trinken;beber;;basic, verb
wissen;saber;;basic, verb
wollen;querer;;basic, verb
zahlen;pagar;;basic, verb
