good;bueno/a;;basic, adjective
bad;malo/a;;basic, adjective
new;nuevo/a;;basic, adjective
old;viejo/a;;basic, adjective
young;joven;;basic, adjective
big;grande;;basic, adjective
small;pequeño/a;;basic, adjective
beautiful;bonito/a;;basic, adjective
cheap;barato/a;;basic, adjective
expensive;caro/a;;basic, adjective
dark;claro/a;;basic, adjective
bright;brillante;;basic, adjective
together;juntos/as;;basic, adjective
separate;separado/a;;basic, adjective
important;importante;;basic, adjective
tired;cansado/a;;basic, adjective
