house;la casa;;basic, surrounding
apartment;el apartamento;;basic, surrounding
hotel;el hotel;;basic, surrounding
museum;el museo;;basic, surrounding
beach;la playa;;basic, surrounding
forest;el bosque;;basic, surrounding
mountain;la montaña;;basic, surrounding
park;el parque;;basic, surrounding
river;el río;;basic, surrounding
sea;el mar;;basic, surrounding
lake;el lago;;basic, surrounding
weather;el tiempo;;basic, surrounding
sun ;el sol ;;basic, surrounding
rain;la lluvia;;basic, surrounding
snow;el nieve;;basic, surrounding
thunderstorm;la tormenta;;basic, surrounding
