hyvä;bueno/a;;basic, adjective
huono;malo/a;;basic, adjective
uusi;nuevo/a;;basic, adjective
vanha;viejo/a;;basic, adjective
nuori;joven;;basic, adjective
iso;grande;;basic, adjective
pieni;pequeño/a;;basic, adjective
kaunis;bonito/a;;basic, adjective
halpa;barato/a;;basic, adjective
kallis;caro/a;;basic, adjective
tumma;claro/a;;basic, adjective
valoisa;brillante;;basic, adjective
yhdessä;juntos/as;;basic, adjective
erikseen;separado/a;;basic, adjective
tärkeä;importante;;basic, adjective
väsynyt;cansado/a;;basic, adjective
