talo;la casa;;basic, surrounding
asunto;el apartamento;;basic, surrounding
hotelli;el hotel;;basic, surrounding
museo;el museo;;basic, surrounding
ranta;la playa;;basic, surrounding
metsä;el bosque;;basic, surrounding
vuori;la montaña;;basic, surrounding
puisto;el parque;;basic, surrounding
joki;el río;;basic, surrounding
meri;el mar;;basic, surrounding
järvi;el lago;;basic, surrounding
sää;el tiempo;;basic, surrounding
aurinko ;el sol ;;basic, surrounding
sade;la lluvia;;basic, surrounding
lumi;el nieve;;basic, surrounding
ukkonen;la tormenta;;basic, surrounding
