työskennellä;trabajar;;basic, verb
käydä;visitar;;basic, verb
jäädä;quedarse;;basic, verb
tarvita;necesitar;;basic, verb
syödä;comer;;basic, verb
kysyä;preguntar;;basic, verb
antaa;dar;;basic, verb
kävellä;ir;;basic, verb
omistaa;tener ;;basic, verb
ostaa;comprar;;basic, verb, shopping
voida;poder;;basic, verb
oppia ;aprender ;;basic, verb
tehdä ;hacer ;;basic, verb
ottaa;tomar;;basic, verb
sanoa;decir;;basic, verb
kirjoittaa;escribir;;basic, verb
nähdä;ver;;basic, verb
olla;ser;;basic, verb
etsiä;buscar;;basic, verb
soittaa;llamar por teléfono;;basic, verb
juoda;beber;;basic, verb
tietää;saber;;basic, verb
haluta;querer;;basic, verb
maksaa;pagar;;basic, verb
