bon(ne);bueno/a;;basic, adjective
mauvais(e);malo/a;;basic, adjective
nouveau/nouvelle;nuevo/a;;basic, adjective
vieux/vieille;viejo/a;;basic, adjective
jeune;joven;;basic, adjective
grand(e);grande;;basic, adjective
petit(e);pequeño/a;;basic, adjective
beau/belle;bonito/a;;basic, adjective
pas cher/chère;barato/a;;basic, adjective
cher/chère;caro/a;;basic, adjective
sombre;claro/a;;basic, adjective
clair(e);brillante;;basic, adjective
ensemble;juntos/as;;basic, adjective
séparé(e);separado/a;;basic, adjective
important(e);importante;;basic, adjective
fatigué(e);cansado/a;;basic, adjective
