le repas;la comida;;basic, food
le restaurant;el restaurante;;basic, food
le café;el café;;basic, food
le bar;el bar;;basic, food
le menu;el menú;;basic, food
l’entrée;el aperitivo;;basic, food
le plat principal;el plato principal;;basic, food
le dessert;el postre;;basic, food
l’addition;la cuenta;;basic, food
végétarien(ne);vegetariano;;basic, food
végan;vegano;;basic, food
sans gluten;sin gluten;;basic, food
le poisson ;el pescado ;;basic, food
la viande;la carne;;basic, food
la salade;el ensalada;;basic, food
le lait;la leche;;basic, food
le fromage;el queso;;basic, food
les fruits;las frutas;;basic, food
les légumes;las verduras;;basic, food
les noix;los frutos secos;;basic, food
le café;el café;;basic, food
le thé ;el té ;;basic, food
l’eau;la agua;;basic, food
le vin;el vino;;basic, food
la bière ;la cerveza ;;basic, food
sans alcool;sin alcohol;;basic, food
À ta santé !;¡Salud!;;basic, food
