le/la médecin;el/la médico/a;;basic, health
l’hôpital;el hospital;;basic, health
la pharmacie;la farmacia;;basic, health
l’antidouleur;el analgésico;;basic, health
le médicament;el medicamento;;basic, health
la douleur;el dolor;;basic, health, body
le dos ;la espalda ;;basic, health, body
le pied;el pie;;basic, health, body
l’abdomen;el vientre;;basic, health, body
la jambe;la pierna;;basic, health, body
la tête;la cabeza;;basic, health, body
la main;el mano;;basic, health, body
le bras;el brazo;;basic, health, body
