la maison;la casa;;basic, surrounding
l’appartement;el apartamento;;basic, surrounding
l’hôtel;el hotel;;basic, surrounding
le musée;el museo;;basic, surrounding
la plage;la playa;;basic, surrounding
le forêt;el bosque;;basic, surrounding
la montagne;la montaña;;basic, surrounding
le parc;el parque;;basic, surrounding
la rivière;el río;;basic, surrounding
la mer;el mar;;basic, surrounding
le lac;el lago;;basic, surrounding
le temps;el tiempo;;basic, surrounding
le soleil ;el sol ;;basic, surrounding
la pluie;la lluvia;;basic, surrounding
la neige;el nieve;;basic, surrounding
l’orage;la tormenta;;basic, surrounding
