le temps;el tiempo;;basic, time
le jour ;el día ;;basic, time
la semaine;la semana;;basic, time
le mois;el mes;;basic, time
l’année ;el año ;;basic, time
lundi;lunes;;basic, time
mardi;martes;;basic, time
mercredi;miércoles;;basic, time
jeudi;jueves;;basic, time
vendredi;viernes;;basic, time
samedi ;sábado ;;basic, time
dimanche;domingo;;basic, time
le matin;por la mañana;;basic, time
l'après-midi;por la tarde;;basic, time
le soir;por la tarde;;basic, time
la nuit;por la noche;;basic, time
plus tôt;antes;;basic, time
plus tard;más tarde;;basic, time
à l'heure;a tiempo;;basic, time
en retard;con retraso;;basic, time
