travailler;trabajar;;basic, verb
visiter;visitar;;basic, verb
rester;quedarse;;basic, verb
avoir besoin de;necesitar;;basic, verb
manger;comer;;basic, verb
demander;preguntar;;basic, verb
donner;dar;;basic, verb
aller;ir;;basic, verb
avoir ;tener ;;basic, verb
acheter;comprar;;basic, verb, shopping
pouvoir;poder;;basic, verb
apprendre ;aprender ;;basic, verb
faire ;hacer ;;basic, verb
prendre;tomar;;basic, verb
dire;decir;;basic, verb
écrire;escribir;;basic, verb
voir;ver;;basic, verb
être;ser;;basic, verb
chercher;buscar;;basic, verb
téléphoner;llamar por teléfono;;basic, verb
boire;beber;;basic, verb
savoir;saber;;basic, verb
vouloir;querer;;basic, verb
payer;pagar;;basic, verb
