食べ物;la comida;;basic, food
レストラン;el restaurante;;basic, food
カフェ;el café;;basic, food
バー;el bar;;basic, food
メニュー;el menú;;basic, food
前菜;el aperitivo;;basic, food
メイン料理;el plato principal;;basic, food
デザート;el postre;;basic, food
請求書;la cuenta;;basic, food
ベジタリアン;vegetariano;;basic, food
ビーガン;vegano;;basic, food
グルテンフリー;sin gluten;;basic, food
魚;el pescado ;;basic, food
お肉;la carne;;basic, food
サラダ;el ensalada;;basic, food
牛乳;la leche;;basic, food
チーズ;el queso;;basic, food
果物;las frutas;;basic, food
野菜;las verduras;;basic, food
ナッツ;los frutos secos;;basic, food
コーヒー;el café;;basic, food
お茶;el té ;;basic, food
水;la agua;;basic, food
ワイン;el vino;;basic, food
ビール;la cerveza ;;basic, food
ノンアルコール;sin alcohol;;basic, food
乾杯！;¡Salud!;;basic, food
