働く;trabajar;;basic, verb
訪れる;visitar;;basic, verb
留まる;quedarse;;basic, verb
必要;necesitar;;basic, verb
食べる;comer;;basic, verb
訪ねる;preguntar;;basic, verb
あげる;dar;;basic, verb
行く;ir;;basic, verb
持っている;tener ;;basic, verb
買う;comprar;;basic, verb, shopping
できる;poder;;basic, verb
習う;aprender ;;basic, verb
作る;hacer ;;basic, verb
取る;tomar;;basic, verb
言う;decir;;basic, verb
書く;escribir;;basic, verb
見る;ver;;basic, verb
となる;ser;;basic, verb
探す;buscar;;basic, verb
電話する;llamar por teléfono;;basic, verb
飲む;beber;;basic, verb
知る;saber;;basic, verb
したい;querer;;basic, verb
払う;pagar;;basic, verb
