음식;la comida;;basic, food
식당;el restaurante;;basic, food
카페;el café;;basic, food
바;el bar;;basic, food
메뉴;el menú;;basic, food
전채 요리;el aperitivo;;basic, food
주 요리;el plato principal;;basic, food
디저트;el postre;;basic, food
계산서;la cuenta;;basic, food
채식;vegetariano;;basic, food
비건;vegano;;basic, food
글루텐 없는;sin gluten;;basic, food
생선;el pescado ;;basic, food
고기;la carne;;basic, food
샐러드;el ensalada;;basic, food
우유;la leche;;basic, food
치즈;el queso;;basic, food
과일;las frutas;;basic, food
야채;las verduras;;basic, food
견과류;los frutos secos;;basic, food
커피;el café;;basic, food
차;el té ;;basic, food
물;la agua;;basic, food
와인;el vino;;basic, food
맥주;la cerveza ;;basic, food
무알콜;sin alcohol;;basic, food
건배;¡Salud!;;basic, food
