집;la casa;;basic, surrounding
아파트;el apartamento;;basic, surrounding
호텔;el hotel;;basic, surrounding
박물관 ;el museo;;basic, surrounding
해변;la playa;;basic, surrounding
숲;el bosque;;basic, surrounding
산;la montaña;;basic, surrounding
공원;el parque;;basic, surrounding
강;el río;;basic, surrounding
바다;el mar;;basic, surrounding
호수;el lago;;basic, surrounding
날씨;el tiempo;;basic, surrounding
해;el sol ;;basic, surrounding
비;la lluvia;;basic, surrounding
눈;el nieve;;basic, surrounding
뇌우;la tormenta;;basic, surrounding
