일하다;trabajar;;basic, verb
방문하다;visitar;;basic, verb
남다;quedarse;;basic, verb
필요하다;necesitar;;basic, verb
먹다;comer;;basic, verb
묻다;preguntar;;basic, verb
주다;dar;;basic, verb
가다;ir;;basic, verb
가지다;tener ;;basic, verb
사다;comprar;;basic, verb, shopping
할수 있다;poder;;basic, verb
배우다;aprender ;;basic, verb
만들다;hacer ;;basic, verb
잡다;tomar;;basic, verb
말하다;decir;;basic, verb
쓰다;escribir;;basic, verb
보다;ver;;basic, verb
이다;ser;;basic, verb
찾다;buscar;;basic, verb
전화하다;llamar por teléfono;;basic, verb
마시다;beber;;basic, verb
알다;saber;;basic, verb
…고 싶다;querer;;basic, verb
지불하다;pagar;;basic, verb
