dobré;bueno/a;;basic, adjective
zlé;malo/a;;basic, adjective
nove;nuevo/a;;basic, adjective
staré;viejo/a;;basic, adjective
mlade;joven;;basic, adjective
veľké;grande;;basic, adjective
male;pequeño/a;;basic, adjective
krásne;bonito/a;;basic, adjective
lacné;barato/a;;basic, adjective
drahé;caro/a;;basic, adjective
tmavé;claro/a;;basic, adjective
svetlé;brillante;;basic, adjective
spolu;juntos/as;;basic, adjective
oddelené;separado/a;;basic, adjective
dôležité;importante;;basic, adjective
unavené;cansado/a;;basic, adjective
