potraviny;la comida;;basic, food
reštaurácia;el restaurante;;basic, food
kaviareň;el café;;basic, food
bar;el bar;;basic, food
menu;el menú;;basic, food
predjedlo;el aperitivo;;basic, food
hlavné jedlo;el plato principal;;basic, food
dezert;el postre;;basic, food
účet;la cuenta;;basic, food
vegetariánske;vegetariano;;basic, food
vegánske;vegano;;basic, food
bezlepkové;sin gluten;;basic, food
ryba;el pescado ;;basic, food
mäso;la carne;;basic, food
šalát;el ensalada;;basic, food
mlieko;la leche;;basic, food
syr;el queso;;basic, food
ovocie;las frutas;;basic, food
zelenina;las verduras;;basic, food
orechy;los frutos secos;;basic, food
káva;el café;;basic, food
čaj ;el té ;;basic, food
voda;la agua;;basic, food
víno;el vino;;basic, food
pivo ;la cerveza ;;basic, food
nealkoholické;sin alcohol;;basic, food
Na zdravie!;¡Salud!;;basic, food
