dom;la casa;;basic, surrounding
byt;el apartamento;;basic, surrounding
hotel;el hotel;;basic, surrounding
múzeum;el museo;;basic, surrounding
pláž;la playa;;basic, surrounding
les;el bosque;;basic, surrounding
vrch;la montaña;;basic, surrounding
park;el parque;;basic, surrounding
rieka;el río;;basic, surrounding
more;el mar;;basic, surrounding
jazero;el lago;;basic, surrounding
počasie;el tiempo;;basic, surrounding
slnko ;el sol ;;basic, surrounding
dážď;la lluvia;;basic, surrounding
sneh;el nieve;;basic, surrounding
búrka;la tormenta;;basic, surrounding
