pracovať;trabajar;;basic, verb
navštíviť;visitar;;basic, verb
zostať;quedarse;;basic, verb
potrebovať;necesitar;;basic, verb
jesť;comer;;basic, verb
pýtať sa;preguntar;;basic, verb
dať;dar;;basic, verb
ísť;ir;;basic, verb
mať ;tener ;;basic, verb
kúpiť;comprar;;basic, verb, shopping
môcť;poder;;basic, verb
naučiť sa ;aprender ;;basic, verb
vyrobiť ;hacer ;;basic, verb
vziať;tomar;;basic, verb
povedať;decir;;basic, verb
písať;escribir;;basic, verb
vidieť;ver;;basic, verb
byť;ser;;basic, verb
hľadať;buscar;;basic, verb
telefonovať;llamar por teléfono;;basic, verb
piť;beber;;basic, verb
vedieť;saber;;basic, verb
chcieť;querer;;basic, verb
platiť;pagar;;basic, verb
