das Haus;talo;;basic, surrounding
die Wohnung;asunto;;basic, surrounding
das Hotel;hotelli;;basic, surrounding
das Museum;museo;;basic, surrounding
der Strand;ranta;;basic, surrounding
der Wald;metsä;;basic, surrounding
der Berg;vuori;;basic, surrounding
der Park;puisto;;basic, surrounding
der Fluss;joki;;basic, surrounding
das Meer;meri;;basic, surrounding
der See;järvi;;basic, surrounding
das Wetter;sää;;basic, surrounding
die Sonne ;aurinko ;;basic, surrounding
der Regen;sade;;basic, surrounding
der Schnee;lumi;;basic, surrounding
das Gewitter;ukkonen;;basic, surrounding
