arbeiten;työskennellä;;basic, verb
besuchen;käydä;;basic, verb
bleiben;jäädä;;basic, verb
brauchen;tarvita;;basic, verb
essen;syödä;;basic, verb
fragen;kysyä;;basic, verb
geben;antaa;;basic, verb
gehen;kävellä;;basic, verb
haben ;omistaa;;basic, verb
kaufen;ostaa;;basic, verb, shopping
können;voida;;basic, verb
lernen ;oppia ;;basic, verb
machen ;tehdä ;;basic, verb
nehmen;ottaa;;basic, verb
sagen;sanoa;;basic, verb
schreiben;kirjoittaa;;basic, verb
sehen;nähdä;;basic, verb
sein;olla;;basic, verb
suchen;etsiä;;basic, verb
telefonieren;soittaa;;basic, verb
trinken;juoda;;basic, verb
wissen;tietää;;basic, verb
wollen;haluta;;basic, verb
zahlen;maksaa;;basic, verb
