to work;työskennellä;;basic, verb
to visit;käydä;;basic, verb
to stay;jäädä;;basic, verb
to need;tarvita;;basic, verb
to eat;syödä;;basic, verb
to ask;kysyä;;basic, verb
to give;antaa;;basic, verb
to go;kävellä;;basic, verb
to have ;omistaa;;basic, verb
to buy;ostaa;;basic, verb, shopping
(I/you/we/they) can;voida;;basic, verb
to learn ;oppia ;;basic, verb
to make ;tehdä ;;basic, verb
to take;ottaa;;basic, verb
to say;sanoa;;basic, verb
to write;kirjoittaa;;basic, verb
to see;nähdä;;basic, verb
to be;olla;;basic, verb
to search;etsiä;;basic, verb
to call;soittaa;;basic, verb
to drink;juoda;;basic, verb
to know;tietää;;basic, verb
to want;haluta;;basic, verb
to pay;maksaa;;basic, verb
