la casa;talo;;basic, surrounding
el apartamento;asunto;;basic, surrounding
el hotel;hotelli;;basic, surrounding
el museo;museo;;basic, surrounding
la playa;ranta;;basic, surrounding
el bosque;metsä;;basic, surrounding
la montaña;vuori;;basic, surrounding
el parque;puisto;;basic, surrounding
el río;joki;;basic, surrounding
el mar;meri;;basic, surrounding
el lago;järvi;;basic, surrounding
el tiempo;sää;;basic, surrounding
el sol ;aurinko ;;basic, surrounding
la lluvia;sade;;basic, surrounding
el nieve;lumi;;basic, surrounding
la tormenta;ukkonen;;basic, surrounding
