trabajar;työskennellä;;basic, verb
visitar;käydä;;basic, verb
quedarse;jäädä;;basic, verb
necesitar;tarvita;;basic, verb
comer;syödä;;basic, verb
preguntar;kysyä;;basic, verb
dar;antaa;;basic, verb
ir;kävellä;;basic, verb
tener ;omistaa;;basic, verb
comprar;ostaa;;basic, verb, shopping
poder;voida;;basic, verb
aprender ;oppia ;;basic, verb
hacer ;tehdä ;;basic, verb
tomar;ottaa;;basic, verb
decir;sanoa;;basic, verb
escribir;kirjoittaa;;basic, verb
ver;nähdä;;basic, verb
ser;olla;;basic, verb
buscar;etsiä;;basic, verb
llamar por teléfono;soittaa;;basic, verb
beber;juoda;;basic, verb
saber;tietää;;basic, verb
querer;haluta;;basic, verb
pagar;maksaa;;basic, verb
